"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Update a book","","2","0","10","0","0"
"","Create a new book","","6","0","8","0","0"
"","Delete a book","","4","0","0","0","0"
"","Get books","","2","0","4","0","0"
